laneID,tLinkID,time,speed,dis
34711,162,4431.56,15,-1
34712,162,4433.48,13.636,-1
34713,162,4433.68,15,-1
34711,162,4433.84,15,-1
34713,162,4436.56,75,-1
34712,162,4436.76,15,-1
34713,162,4438.48,16.667,-1
34712,162,4439.68,30,-1
34711,162,4441.96,15,-1
34712,162,4442.32,18.75,-1
34713,162,4442.56,21.429,-1
34712,162,4444.4,25,-1
34713,162,4444.44,16.667,-1
34712,162,4448.04,15,-1
34711,162,4448.36,16.667,-1
34711,162,4450.04,15,-1
34712,162,4451.28,18.75,-1
34713,162,4452.6,30,-1
34712,162,4454.6,15,-1
34711,162,4455.8,21.429,-1
34713,162,4456,16.667,-1
34711,162,4458.48,18.75,-1
34713,162,4458.76,21.429,-1
34713,162,4459.8,15,-1
34712,162,4461.24,15,-1
34713,162,4461.68,16.667,-1
34711,162,4462.4,21.429,-1
34713,162,4463.12,25,-1
34712,162,4464.64,30,-1
34712,162,4465.32,16.667,-1
34713,162,4465.52,16.667,-1
34711,162,4466.76,30,-1
34712,162,4467.92,21.429,-1
34713,162,4468.84,18.75,-1
34713,162,4471.36,18.75,-1
34712,162,4471.72,13.636,-1
34713,162,4471.92,15,-1
34711,162,4473.56,21.429,-1
34713,162,4474.76,15,-1
34711,162,4475.12,18.75,-1
34713,162,4476.36,15,-1
34711,162,4478.12,21.429,-1
34713,162,4479.04,13.636,-1
34712,162,4479.28,15,-1
34713,162,4482.88,15,-1
34711,162,4483.12,15,-1
34712,162,4483.96,18.75,-1
34713,162,4484.48,13.636,-1
34711,162,4484.76,16.667,-1
34711,162,4486.52,21.429,-1
34713,162,4487.4,16.667,-1
34713,162,4488.96,11.538,-1
34712,162,4489.28,15,-1
34711,162,4489.84,15,-1
34713,162,4490.64,16.667,-1
34712,162,4492.08,18.75,-1
34713,162,4492.48,15,-1
34711,162,4493.56,21.429,-1
34712,162,4493.84,21.429,-1
34713,162,4494.92,16.667,-1
34713,162,4496.12,15,-1
34712,162,4496.44,16.667,-1
34711,162,4496.88,21.429,-1
34712,162,4498.4,18.75,-1
34712,162,4500.16,15,-1
34713,162,4502.12,16.667,-1
34712,162,4502.48,10,-1
34711,162,4502.72,75,-1
34712,162,4504.64,11.538,-1
34711,162,4504.92,12.5,-1
34713,162,4505.16,13.636,-1
34713,162,4505.8,13.636,-1
34713,162,4507.28,13.636,-1
34712,162,4507.64,10,-1
34711,162,4507.84,30,-1
34711,162,4508.68,12.5,-1
34712,162,4508.96,11.538,-1
34713,162,4509.28,12.5,-1
34711,162,4510.48,18.75,-1
34712,162,4512.56,12.5,-1
34711,162,4512.92,15,-1
34712,162,4513.88,13.636,-1
34711,162,4514.6,25,-1
34712,162,4515.72,21.429,-1
34713,162,4515.92,18.75,-1
34712,162,4517.08,16.667,-1
34713,162,4518.84,13.636,-1
34712,162,4519.28,11.538,-1
34711,162,4519.52,12.5,-1
34713,162,4520.4,12.5,-1
34712,162,4520.64,13.636,-1
